EmployeeNumber,Age,age_band,Gender,MaritalStatus,Department,JobRole,JobLevel,Education_label,EducationField,BusinessTravel,DistanceFromHome,OverTime,MonthlyIncome,income_quartile,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,YearsAtCompany,tenure_band,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,JobSatisfaction_label,EnvironmentSatisfaction_label,RelationshipSatisfaction_label,JobInvolvement_label,WorkLifeBalance_label,satisfaction_band,PerformanceRating,Attrition,attrition_flag
451,43,36 to 45,Female,Married,Research & Development,Healthcare Representative,3,3 Bachelor,Life Sciences,Travel_Rarely,7,No,9985,Q4 highest,16,1,10,1,Under 1 year,0,0,0,8,1,1 Low,3 High,1 Low,3 High,2 Good,Low,3,No,0
452,45,36 to 45,Male,Married,Research & Development,Research Scientist,2,4 Master,Other,Travel_Rarely,8,No,3697,Q2,14,2,12,10,6 to 10,9,9,8,9,3,4 Very High,4 Very High,1 Low,3 High,3 Better,Good,3,No,0
453,40,36 to 45,Male,Married,Sales,Sales Executive,2,2 College,Medical,Travel_Rarely,1,Yes,7457,Q3,22,3,6,4,3 to 5,3,0,2,2,2,4 Very High,2 Medium,3 High,1 Low,2 Good,Below average,4,No,0
454,29,26 to 35,Male,Married,Research & Development,Laboratory Technician,1,4 Master,Other,Travel_Rarely,8,Yes,2119,Q1 lowest,11,0,7,7,6 to 10,7,0,7,1,4,1 Low,2 Medium,4 Very High,1 Low,2 Good,Below average,3,Yes,1
455,29,26 to 35,Male,Single,Research & Development,Laboratory Technician,1,5 Doctor,Other,Travel_Rarely,9,No,3983,Q2,17,0,4,3,3 to 5,2,2,2,0,2,4 Very High,2 Medium,3 High,2 Medium,3 Better,Good,3,No,0
456,30,26 to 35,Female,Divorced,Sales,Sales Executive,2,3 Bachelor,Marketing,Travel_Rarely,5,No,6118,Q3,13,3,10,10,6 to 10,9,1,2,1,2,3 High,4 Very High,3 High,2 Medium,3 Better,Good,3,No,0
458,27,26 to 35,Female,Married,Sales,Sales Executive,2,4 Master,Marketing,Travel_Rarely,8,No,6214,Q3,18,1,8,8,6 to 10,7,0,7,1,3,2 Medium,2 Medium,1 Low,3 High,3 Better,Low,3,No,0
460,37,36 to 45,Male,Divorced,Research & Development,Manufacturing Director,2,2 College,Medical,Travel_Rarely,5,No,6347,Q3,16,2,8,6,6 to 10,2,0,4,7,2,4 Very High,4 Very High,3 High,3 High,2 Good,Good,3,No,0
461,38,36 to 45,Male,Divorced,Research & Development,Research Director,3,2 College,Life Sciences,Travel_Rarely,15,Yes,11510,Q4 highest,14,1,12,11,Over 10,10,2,9,0,3,4 Very High,3 High,2 Medium,2 Medium,3 Better,Good,3,No,0
462,31,26 to 35,Female,Single,Research & Development,Manufacturing Director,3,4 Master,Medical,Travel_Rarely,7,Yes,7143,Q3,14,0,11,11,Over 10,9,4,10,1,2,4 Very High,3 High,3 High,3 High,2 Good,Good,3,No,0
463,29,26 to 35,Female,Divorced,Sales,Sales Executive,2,1 Below College,Marketing,Travel_Rarely,10,Yes,8268,Q3,14,2,7,7,6 to 10,7,1,7,1,2,2 Medium,4 Very High,1 Low,2 Medium,3 Better,Below average,3,No,0
464,35,26 to 35,Male,Single,Research & Development,Manufacturing Director,3,4 Master,Technical Degree,Travel_Rarely,5,No,8095,Q3,13,0,17,16,Over 10,6,0,13,0,5,2 Medium,3 High,4 Very High,3 High,3 Better,Good,3,No,0
465,23,18 to 25,Male,Divorced,Research & Development,Research Scientist,1,1 Below College,Life Sciences,Travel_Rarely,26,No,2904,Q1 lowest,12,2,4,4,3 to 5,2,0,2,1,2,4 Very High,3 High,3 High,3 High,2 Good,Good,3,No,0
466,41,36 to 45,Male,Single,Research & Development,Manufacturing Director,2,3 Bachelor,Medical,Travel_Rarely,6,Yes,6032,Q3,15,0,8,5,3 to 5,4,1,2,6,3,2 Medium,4 Very High,4 Very High,2 Medium,3 Better,Good,3,No,0
467,47,46 to 60,Male,Single,Sales,Sales Representative,2,1 Below College,Medical,Travel_Frequently,4,No,2976,Q2,19,0,5,0,Under 1 year,0,0,0,3,3,3 High,2 Medium,1 Low,3 High,3 Better,Below average,3,No,0
468,42,36 to 45,Female,Single,Research & Development,Research Director,4,5 Doctor,Life Sciences,Travel_Rarely,23,No,15992,Q4 highest,14,0,16,1,Under 1 year,0,0,0,2,2,4 Very High,1 Low,2 Medium,3 High,3 Better,Below average,3,No,0
469,29,26 to 35,Male,Married,Sales,Sales Executive,2,3 Bachelor,Life Sciences,Non-Travel,2,No,4649,Q2,14,1,4,4,3 to 5,3,0,2,1,3,3 High,4 Very High,1 Low,3 High,2 Good,Below average,3,No,0
470,42,36 to 45,Male,Divorced,Human Resources,Human Resources,1,1 Below College,Technical Degree,Travel_Rarely,2,Yes,2696,Q1 lowest,11,1,4,3,3 to 5,2,1,0,0,5,3 High,3 High,3 High,3 High,3 Better,Good,3,No,0
471,32,26 to 35,Female,Married,Research & Development,Laboratory Technician,1,3 Bachelor,Medical,Travel_Rarely,2,No,2370,Q1 lowest,13,1,8,8,6 to 10,0,0,7,1,4,2 Medium,3 High,3 High,3 High,3 Better,Below average,3,No,0
473,48,46 to 60,Female,Married,Sales,Manager,3,1 Below College,Medical,Travel_Rarely,29,No,12504,Q4 highest,21,1,15,0,Under 1 year,0,0,0,3,3,3 High,1 Low,2 Medium,3 High,1 Bad,Low,4,No,0
474,37,36 to 45,Male,Divorced,Research & Development,Research Scientist,2,3 Bachelor,Medical,Travel_Rarely,6,Yes,5974,Q3,13,2,13,7,6 to 10,7,6,7,4,2,1 Low,3 High,1 Low,4 Very High,3 Better,Low,3,No,0
475,30,26 to 35,Female,Married,Sales,Sales Executive,2,2 College,Technical Degree,Non-Travel,25,Yes,4736,Q2,12,1,4,2,1 to 2,2,2,2,7,2,3 High,4 Very High,2 Medium,3 High,4 Best,Good,3,No,0
476,26,26 to 35,Male,Married,Sales,Sales Executive,2,3 Bachelor,Life Sciences,Travel_Rarely,1,No,5296,Q3,17,1,8,8,6 to 10,7,7,7,1,3,3 High,3 High,2 Medium,3 High,3 Better,Below average,3,No,0
477,42,36 to 45,Male,Single,Research & Development,Healthcare Representative,2,4 Master,Other,Travel_Rarely,2,No,6781,Q3,23,0,14,1,Under 1 year,0,0,0,3,6,4 Very High,1 Low,2 Medium,2 Medium,3 Better,Below average,4,No,0
478,21,18 to 25,Female,Single,Sales,Sales Representative,1,1 Below College,Technical Degree,Travel_Frequently,1,Yes,2174,Q1 lowest,11,0,3,3,3 to 5,2,1,2,1,3,2 Medium,1 Low,3 High,2 Medium,3 Better,Below average,3,Yes,1
479,36,36 to 45,Female,Single,Sales,Sales Executive,2,5 Doctor,Medical,Non-Travel,1,No,6653,Q3,15,0,7,1,Under 1 year,0,0,0,4,6,4 Very High,4 Very High,2 Medium,3 High,3 Better,Good,3,No,0
481,36,36 to 45,Male,Married,Sales,Sales Executive,3,4 Master,Medical,Travel_Frequently,3,No,9699,Q4 highest,11,1,16,13,Over 10,9,1,12,4,2,4 Very High,1 Low,1 Low,2 Medium,3 Better,Below average,3,No,0
482,57,46 to 60,Male,Married,Research & Development,Healthcare Representative,2,4 Master,Medical,Travel_Rarely,1,No,6755,Q3,11,0,15,3,3 to 5,2,1,2,2,2,3 High,4 Very High,3 High,3 High,3 Better,Good,3,No,0
483,40,36 to 45,Female,Married,Research & Development,Laboratory Technician,1,4 Master,Life Sciences,Travel_Rarely,10,Yes,2213,Q1 lowest,13,1,10,7,6 to 10,7,1,7,3,3,3 High,4 Very High,3 High,4 Very High,3 Better,Good,3,No,0
484,21,18 to 25,Male,Single,Sales,Sales Representative,1,2 College,Medical,Non-Travel,9,No,2610,Q1 lowest,24,0,3,3,3 to 5,2,2,2,1,3,4 Very High,1 Low,3 High,3 High,2 Good,Below average,4,No,0
485,33,26 to 35,Female,Single,Sales,Sales Representative,1,3 Bachelor,Marketing,Travel_Rarely,5,Yes,2851,Q1 lowest,13,0,1,1,Under 1 year,0,0,0,1,2,3 High,4 Very High,2 Medium,3 High,3 Better,Good,3,Yes,1
486,37,36 to 45,Female,Married,Research & Development,Laboratory Technician,1,3 Bachelor,Medical,Travel_Rarely,10,No,3452,Q2,20,1,17,5,3 to 5,4,0,3,6,3,1 Low,3 High,2 Medium,3 High,3 Better,Below average,4,No,0
487,46,46 to 60,Female,Married,Research & Development,Manufacturing Director,2,4 Master,Medical,Non-Travel,7,No,5258,Q3,14,0,7,1,Under 1 year,0,0,0,2,2,3 High,3 High,3 High,3 High,4 Best,Good,3,No,0
488,41,36 to 45,Male,Single,Sales,Sales Executive,2,3 Bachelor,Marketing,Travel_Frequently,4,No,9355,Q4 highest,18,0,8,8,6 to 10,7,7,7,1,5,2 Medium,1 Low,3 High,3 High,3 Better,Below average,3,Yes,1
491,50,46 to 60,Male,Single,Research & Development,Healthcare Representative,3,3 Bachelor,Technical Degree,Travel_Rarely,10,No,10496,Q4 highest,15,0,20,4,3 to 5,3,1,3,6,2,4 Very High,4 Very High,4 Very High,2 Medium,3 Better,High,3,No,0
492,40,36 to 45,Male,Married,Sales,Sales Executive,2,2 College,Marketing,Travel_Rarely,22,Yes,6380,Q3,12,2,8,6,6 to 10,4,1,0,2,6,3 High,3 High,1 Low,2 Medium,3 Better,Below average,3,Yes,1
493,31,26 to 35,Male,Single,Research & Development,Research Scientist,1,4 Master,Life Sciences,Travel_Rarely,9,Yes,2657,Q1 lowest,16,0,3,2,1 to 2,2,2,2,0,5,2 Medium,3 High,4 Very High,2 Medium,3 Better,Good,3,No,0
494,21,18 to 25,Female,Single,Sales,Sales Representative,1,3 Bachelor,Life Sciences,Travel_Rarely,12,No,2716,Q1 lowest,15,0,1,1,Under 1 year,0,0,0,1,0,2 Medium,3 High,4 Very High,4 Very High,3 Better,Good,3,Yes,1
495,29,26 to 35,Male,Single,Research & Development,Research Scientist,1,3 Bachelor,Life Sciences,Travel_Rarely,23,No,2201,Q1 lowest,16,0,6,3,3 to 5,2,1,2,9,4,4 Very High,4 Very High,4 Very High,3 High,3 Better,High,3,No,0
496,35,26 to 35,Male,Single,Research & Development,Healthcare Representative,2,4 Master,Life Sciences,Travel_Rarely,9,No,6540,Q3,19,0,10,1,Under 1 year,1,0,0,9,5,2 Medium,3 High,3 High,2 Medium,3 Better,Below average,3,No,0
497,27,26 to 35,Male,Divorced,Research & Development,Laboratory Technician,1,2 College,Medical,Travel_Rarely,1,No,3816,Q2,11,1,5,5,3 to 5,2,0,4,1,2,2 Medium,4 Very High,2 Medium,3 High,3 Better,Below average,3,No,0
498,28,26 to 35,Male,Single,Sales,Sales Executive,2,4 Master,Life Sciences,Travel_Rarely,9,No,5253,Q3,16,0,7,7,6 to 10,5,0,7,1,1,4 Very High,2 Medium,4 Very High,3 High,3 Better,Good,3,No,0
499,49,46 to 60,Male,Single,Research & Development,Healthcare Representative,3,3 Bachelor,Other,Travel_Rarely,7,No,10965,Q4 highest,24,0,26,5,3 to 5,2,0,0,8,2,3 High,2 Medium,3 High,2 Medium,3 Better,Below average,4,No,0
500,51,46 to 60,Female,Married,Sales,Sales Executive,2,2 College,Life Sciences,Travel_Rarely,14,No,4936,Q3,11,1,18,7,6 to 10,7,0,7,4,2,4 Very High,3 High,3 High,3 High,2 Good,Good,3,No,0
501,36,36 to 45,Female,Married,Research & Development,Research Scientist,1,3 Bachelor,Life Sciences,Travel_Rarely,2,No,2543,Q1 lowest,13,1,6,2,1 to 2,2,2,2,4,3,3 High,4 Very High,2 Medium,3 High,3 Better,Good,3,No,0
502,34,26 to 35,Male,Single,Sales,Sales Executive,2,3 Bachelor,Marketing,Non-Travel,19,Yes,5304,Q3,13,0,9,5,3 to 5,2,0,4,8,3,4 Very High,1 Low,2 Medium,4 Very High,2 Good,Below average,3,Yes,1
505,55,46 to 60,Female,Single,Research & Development,Manager,4,3 Bachelor,Life Sciences,Travel_Rarely,2,Yes,16659,Q4 highest,13,0,30,5,3 to 5,4,1,2,2,2,4 Very High,3 High,3 High,3 High,3 Better,Good,3,No,0
507,24,18 to 25,Female,Divorced,Sales,Sales Executive,2,4 Master,Marketing,Travel_Rarely,10,Yes,4260,Q2,12,1,5,5,3 to 5,2,0,3,1,2,3 High,4 Very High,4 Very High,3 High,4 Best,High,3,No,0
508,30,26 to 35,Male,Married,Sales,Sales Representative,1,1 Below College,Technical Degree,Travel_Rarely,2,No,2476,Q1 lowest,18,1,1,1,Under 1 year,0,0,0,1,3,2 Medium,3 High,1 Low,3 High,3 Better,Below average,3,No,0
510,26,26 to 35,Male,Single,Research & Development,Research Scientist,1,1 Below College,Technical Degree,Travel_Frequently,3,No,3102,Q2,22,0,7,6,6 to 10,4,0,4,0,2,1 Low,3 High,3 High,3 High,3 Better,Below average,4,Yes,1
511,22,18 to 25,Female,Married,Research & Development,Research Scientist,1,3 Bachelor,Medical,Travel_Rarely,11,No,2244,Q1 lowest,13,1,2,2,1 to 2,1,1,2,1,1,2 Medium,1 Low,4 Very High,3 High,3 Better,Below average,3,No,0
513,36,36 to 45,Male,Married,Sales,Sales Executive,3,2 College,Medical,Travel_Rarely,2,No,7596,Q3,13,2,10,10,6 to 10,9,9,0,1,2,3 High,2 Medium,2 Medium,2 Medium,3 Better,Below average,3,No,0
514,30,26 to 35,Male,Single,Research & Development,Research Scientist,1,3 Bachelor,Technical Degree,Travel_Frequently,4,Yes,2285,Q1 lowest,23,0,3,1,Under 1 year,0,0,0,9,4,4 Very High,3 High,3 High,3 High,3 Better,Good,4,Yes,1
515,37,36 to 45,Female,Divorced,Research & Development,Laboratory Technician,1,3 Bachelor,Life Sciences,Travel_Rarely,14,No,3034,Q2,12,1,18,18,Over 10,7,12,17,1,2,1 Low,4 Very High,3 High,3 High,2 Good,Below average,3,No,0
516,40,36 to 45,Female,Divorced,Sales,Sales Executive,2,2 College,Marketing,Travel_Rarely,2,No,5715,Q3,12,2,8,5,3 to 5,4,1,3,7,5,2 Medium,4 Very High,3 High,3 High,3 Better,Good,3,No,0
517,42,36 to 45,Female,Divorced,Research & Development,Laboratory Technician,1,4 Master,Life Sciences,Travel_Rarely,1,No,2576,Q1 lowest,16,1,8,5,3 to 5,2,1,2,3,5,1 Low,2 Medium,2 Medium,3 High,3 Better,Low,3,No,0
518,37,36 to 45,Male,Single,Research & Development,Manufacturing Director,2,4 Master,Life Sciences,Travel_Rarely,10,Yes,4197,Q2,12,0,18,1,Under 1 year,0,0,1,2,2,2 Medium,3 High,4 Very High,3 High,2 Good,Below average,3,No,0
520,43,36 to 45,Male,Divorced,Research & Development,Research Director,4,3 Bachelor,Life Sciences,Travel_Rarely,12,No,14336,Q4 highest,11,1,25,25,Over 10,10,3,9,1,3,2 Medium,1 Low,3 High,2 Medium,3 Better,Below average,3,No,0
521,40,36 to 45,Female,Married,Research & Development,Laboratory Technician,2,3 Bachelor,Medical,Travel_Rarely,2,No,3448,Q2,22,1,20,1,Under 1 year,0,0,0,6,3,3 High,2 Medium,2 Medium,2 Medium,3 Better,Below average,4,No,0
522,54,46 to 60,Male,Married,Research & Development,Research Director,5,2 College,Medical,Travel_Rarely,5,No,19406,Q4 highest,11,1,24,4,3 to 5,2,1,2,4,4,1 Low,1 Low,3 High,3 High,2 Good,Low,3,No,0
523,34,26 to 35,Female,Married,Sales,Sales Executive,2,4 Master,Marketing,Non-Travel,4,No,6538,Q3,15,1,6,3,3 to 5,2,1,2,9,3,3 High,3 High,1 Low,3 High,3 Better,Below average,3,No,0
524,31,26 to 35,Female,Married,Research & Development,Manufacturing Director,2,2 College,Medical,Travel_Rarely,7,No,4306,Q2,12,1,13,13,Over 10,10,3,12,1,5,1 Low,2 Medium,2 Medium,3 High,1 Bad,Low,3,No,0
525,43,36 to 45,Male,Married,Research & Development,Laboratory Technician,1,3 Bachelor,Medical,Travel_Frequently,21,No,2258,Q1 lowest,20,1,8,3,3 to 5,2,1,2,7,1,4 Very High,4 Very High,1 Low,3 High,3 Better,Good,4,No,0
526,43,36 to 45,Female,Divorced,Research & Development,Healthcare Representative,2,4 Master,Other,Travel_Rarely,8,Yes,4522,Q2,14,0,8,5,3 to 5,2,0,2,4,3,3 High,3 High,4 Very High,3 High,3 Better,Good,3,No,0
527,25,18 to 25,Female,Single,Sales,Sales Executive,2,2 College,Life Sciences,Travel_Rarely,4,Yes,4487,Q2,11,0,5,5,3 to 5,4,1,3,1,3,4 Very High,2 Medium,2 Medium,2 Medium,3 Better,Below average,3,No,0
529,37,36 to 45,Female,Married,Research & Development,Research Scientist,2,5 Doctor,Medical,Non-Travel,25,Yes,4449,Q2,15,2,15,13,Over 10,11,10,7,3,2,3 High,2 Medium,1 Low,3 High,3 Better,Below average,3,No,0
530,31,26 to 35,Male,Married,Research & Development,Laboratory Technician,1,2 College,Life Sciences,Travel_Rarely,1,No,2218,Q1 lowest,12,1,4,4,3 to 5,2,3,2,1,3,1 Low,4 Very High,3 High,2 Medium,3 Better,Below average,3,No,0
531,39,36 to 45,Male,Divorced,Research & Development,Manager,5,1 Below College,Life Sciences,Travel_Frequently,1,Yes,19197,Q4 highest,14,1,21,21,Over 10,8,1,6,1,3,3 High,2 Medium,3 High,3 High,3 Better,Below average,3,No,0
532,56,46 to 60,Female,Married,Sales,Sales Executive,4,3 Bachelor,Life Sciences,Travel_Frequently,6,No,13212,Q4 highest,11,3,36,7,6 to 10,7,7,7,9,0,1 Low,3 High,4 Very High,4 Very High,2 Good,Below average,3,No,0
533,30,26 to 35,Female,Single,Sales,Sales Executive,2,3 Bachelor,Technical Degree,Travel_Rarely,12,No,6577,Q3,11,0,6,5,3 to 5,4,4,4,0,6,3 High,2 Medium,2 Medium,3 High,3 Better,Below average,3,No,0
534,41,36 to 45,Male,Married,Sales,Sales Executive,3,3 Bachelor,Marketing,Travel_Rarely,1,No,8392,Q4 highest,16,1,10,10,6 to 10,7,0,7,1,2,1 Low,2 Medium,3 High,4 Very High,3 Better,Below average,3,No,0
536,28,26 to 35,Male,Divorced,Research & Development,Laboratory Technician,2,2 College,Medical,Travel_Rarely,17,No,4558,Q2,12,1,10,10,6 to 10,0,1,8,1,2,1 Low,3 High,4 Very High,3 High,3 Better,Below average,3,No,0
538,25,18 to 25,Male,Married,Research & Development,Laboratory Technician,1,3 Bachelor,Medical,Travel_Rarely,3,No,4031,Q2,13,1,6,2,1 to 2,2,0,2,5,5,1 Low,1 Low,3 High,3 High,3 Better,Low,3,Yes,1
543,52,46 to 60,Male,Married,Research & Development,Manufacturing Director,3,3 Bachelor,Medical,Travel_Rarely,3,Yes,7969,Q3,14,0,28,5,3 to 5,4,0,4,2,4,3 High,4 Very High,3 High,2 Medium,3 Better,Good,3,No,0
544,45,36 to 45,Male,Married,Research & Development,Research Scientist,1,2 College,Life Sciences,Travel_Rarely,10,No,2654,Q1 lowest,21,2,8,2,1 to 2,2,0,2,3,3,4 Very High,1 Low,4 Very High,3 High,2 Good,Below average,4,No,0
546,52,46 to 60,Female,Married,Research & Development,Manager,4,2 College,Life Sciences,Travel_Rarely,4,No,16555,Q4 highest,13,0,31,5,3 to 5,2,1,4,2,2,4 Very High,4 Very High,4 Very High,3 High,1 Bad,Good,3,No,0
547,42,36 to 45,Female,Divorced,Research & Development,Research Scientist,2,2 College,Life Sciences,Travel_Frequently,29,No,4556,Q2,11,1,19,5,3 to 5,4,0,2,2,3,3 High,1 Low,2 Medium,3 High,3 Better,Below average,3,No,0
548,30,26 to 35,Female,Single,Research & Development,Manufacturing Director,2,3 Bachelor,Life Sciences,Travel_Rarely,2,No,6091,Q3,20,0,11,5,3 to 5,4,0,2,2,2,4 Very High,3 High,3 High,1 Low,3 Better,Good,4,No,0
549,60,46 to 60,Female,Married,Research & Development,Manager,5,3 Bachelor,Life Sciences,Travel_Rarely,7,No,19566,Q4 highest,11,0,33,29,Over 10,8,11,10,5,5,1 Low,1 Low,4 Very High,3 High,1 Bad,Low,3,No,0
550,46,46 to 60,Female,Divorced,Research & Development,Manufacturing Director,2,3 Bachelor,Medical,Travel_Rarely,18,No,4810,Q2,14,1,19,10,6 to 10,7,0,8,2,5,3 High,3 High,3 High,3 High,2 Good,Below average,3,No,0
551,42,36 to 45,Female,Married,Research & Development,Healthcare Representative,2,4 Master,Technical Degree,Travel_Frequently,28,No,4523,Q2,11,3,7,6,6 to 10,5,0,4,0,4,4 Very High,4 Very High,4 Very High,2 Medium,4 Best,High,3,No,0
554,24,18 to 25,Female,Single,Sales,Sales Representative,1,1 Below College,Technical Degree,Travel_Rarely,1,Yes,3202,Q2,16,0,6,5,3 to 5,3,1,4,1,4,2 Medium,1 Low,2 Medium,3 High,3 Better,Low,3,Yes,1
555,34,26 to 35,Female,Divorced,Sales,Sales Representative,1,2 College,Marketing,Travel_Frequently,6,No,2351,Q1 lowest,16,1,3,2,1 to 2,2,1,0,0,3,3 High,4 Very High,4 Very High,1 Low,2 Good,Good,3,Yes,1
556,38,36 to 45,Male,Married,Research & Development,Laboratory Technician,1,2 College,Life Sciences,Travel_Frequently,2,Yes,1702,Q1 lowest,23,1,1,1,Under 1 year,0,0,0,1,3,4 Very High,4 Very High,3 High,3 High,3 Better,Good,4,No,0
558,40,36 to 45,Female,Married,Sales,Manager,5,4 Master,Life Sciences,Travel_Rarely,2,No,18041,Q4 highest,14,0,21,20,Over 10,15,1,12,0,2,3 High,3 High,4 Very High,3 High,3 Better,Good,3,No,0
560,26,26 to 35,Female,Divorced,Research & Development,Research Scientist,1,3 Bachelor,Life Sciences,Travel_Rarely,23,No,2886,Q1 lowest,22,2,3,3,3 to 5,2,0,2,1,3,4 Very High,1 Low,2 Medium,3 High,1 Bad,Low,4,No,0
562,30,26 to 35,Male,Married,Research & Development,Laboratory Technician,1,3 Bachelor,Life Sciences,Non-Travel,3,No,2097,Q1 lowest,15,1,9,5,3 to 5,3,1,4,4,3,4 Very High,3 High,3 High,3 High,1 Bad,Below average,3,No,0
564,29,26 to 35,Male,Married,Research & Development,Research Director,3,4 Master,Medical,Travel_Rarely,3,No,11935,Q4 highest,18,0,10,10,6 to 10,2,0,7,1,2,3 High,2 Medium,3 High,2 Medium,3 Better,Below average,3,No,0
565,29,26 to 35,Female,Married,Research & Development,Research Scientist,1,5 Doctor,Technical Degree,Travel_Rarely,25,No,2546,Q1 lowest,16,0,6,2,1 to 2,2,1,1,5,2,2 Medium,3 High,2 Medium,2 Medium,4 Best,Below average,3,Yes,1
566,19,18 to 25,Male,Single,Human Resources,Human Resources,1,2 College,Technical Degree,Travel_Rarely,2,No,2564,Q1 lowest,12,0,1,1,Under 1 year,0,0,0,1,3,4 Very High,1 Low,3 High,2 Medium,4 Best,Good,3,Yes,1
567,30,26 to 35,Female,Married,Sales,Sales Executive,3,4 Master,Other,Non-Travel,22,No,8412,Q4 highest,11,0,10,9,6 to 10,8,7,8,0,3,1 Low,3 High,3 High,3 High,3 Better,Below average,3,No,0
568,57,46 to 60,Male,Divorced,Sales,Manager,4,3 Bachelor,Marketing,Travel_Rarely,29,No,14118,Q4 highest,12,1,32,1,Under 1 year,0,0,0,3,3,4 Very High,1 Low,3 High,2 Medium,2 Good,Below average,3,No,0
569,50,46 to 60,Male,Married,Research & Development,Manager,4,4 Master,Life Sciences,Travel_Rarely,29,No,17046,Q4 highest,15,1,28,27,Over 10,10,15,7,0,2,3 High,2 Medium,2 Medium,2 Medium,3 Better,Below average,3,No,0
571,30,26 to 35,Female,Single,Research & Development,Laboratory Technician,1,3 Bachelor,Medical,Non-Travel,2,No,2564,Q1 lowest,14,0,12,11,Over 10,7,6,7,0,2,4 Very High,3 High,3 High,3 High,2 Good,Good,3,No,0
573,60,46 to 60,Female,Married,Sales,Sales Executive,3,3 Bachelor,Marketing,Travel_Frequently,28,No,10266,Q4 highest,19,0,22,18,Over 10,13,13,11,4,5,1 Low,3 High,4 Very High,2 Medium,4 Best,Good,3,No,0
574,47,46 to 60,Female,Divorced,Research & Development,Manufacturing Director,2,2 College,Medical,Travel_Rarely,2,No,5070,Q3,13,3,20,5,3 to 5,0,0,4,5,2,4 Very High,1 Low,3 High,3 High,3 Better,Below average,3,No,0
575,46,46 to 60,Male,Married,Research & Development,Research Director,4,3 Bachelor,Life Sciences,Travel_Rarely,2,No,17861,Q4 highest,13,0,26,3,3 to 5,2,0,1,6,2,3 High,1 Low,3 High,3 High,1 Bad,Low,3,No,0
577,35,26 to 35,Male,Single,Research & Development,Laboratory Technician,1,3 Bachelor,Life Sciences,Travel_Rarely,22,No,4230,Q2,15,0,6,5,3 to 5,4,4,3,0,2,3 High,4 Very High,3 High,1 Low,3 Better,Good,3,No,0
578,54,46 to 60,Female,Single,Research & Development,Laboratory Technician,2,4 Master,Life Sciences,Travel_Rarely,8,No,3780,Q2,11,0,19,1,Under 1 year,0,0,0,7,3,3 High,3 High,3 High,3 High,3 Better,Good,3,No,0
579,34,26 to 35,Male,Divorced,Research & Development,Research Scientist,1,4 Master,Life Sciences,Travel_Rarely,2,No,2768,Q1 lowest,12,1,14,7,6 to 10,3,5,7,3,3,3 High,4 Very High,3 High,2 Medium,3 Better,Good,3,No,0
580,46,46 to 60,Female,Married,Sales,Sales Executive,3,3 Bachelor,Marketing,Travel_Rarely,10,Yes,9071,Q4 highest,19,1,15,3,3 to 5,2,1,2,2,3,4 Very High,3 High,3 High,2 Medium,3 Better,Good,3,No,0
581,31,26 to 35,Male,Divorced,Research & Development,Manufacturing Director,3,1 Below College,Life Sciences,Travel_Rarely,9,No,10648,Q4 highest,25,1,13,13,Over 10,8,0,8,1,6,2 Medium,3 High,4 Very High,3 High,4 Best,Good,4,No,0
582,33,26 to 35,Male,Married,Research & Development,Manager,3,1 Below College,Medical,Travel_Rarely,15,Yes,13610,Q4 highest,12,0,15,7,6 to 10,6,7,7,7,2,3 High,2 Medium,4 Very High,3 High,4 Best,Good,3,Yes,1
584,33,26 to 35,Male,Divorced,Research & Development,Laboratory Technician,1,1 Below College,Medical,Travel_Rarely,10,No,3408,Q2,13,3,8,4,3 to 5,3,1,3,7,2,4 Very High,1 Low,1 Low,1 Low,3 Better,Below average,3,Yes,1
585,30,26 to 35,Male,Single,Sales,Sales Representative,1,1 Below College,Marketing,Travel_Rarely,7,No,2983,Q2,14,0,4,3,3 to 5,2,1,2,0,3,2 Medium,4 Very High,1 Low,3 High,3 Better,Below average,3,No,0
586,35,26 to 35,Male,Married,Research & Development,Healthcare Representative,3,3 Bachelor,Life Sciences,Travel_Rarely,16,Yes,7632,Q3,12,0,10,8,6 to 10,7,0,0,4,2,3 High,4 Very High,3 High,3 High,3 Better,Good,3,No,0
587,31,26 to 35,Male,Married,Research & Development,Healthcare Representative,3,3 Bachelor,Life Sciences,Travel_Frequently,20,No,9824,Q4 highest,12,0,12,1,Under 1 year,0,0,0,3,2,3 High,1 Low,1 Low,3 High,3 Better,Low,3,Yes,1
590,34,26 to 35,Female,Divorced,Human Resources,Human Resources,3,3 Bachelor,Human Resources,Travel_Frequently,23,Yes,9950,Q4 highest,15,3,11,3,3 to 5,2,0,2,9,2,1 Low,2 Medium,3 High,3 High,3 Better,Below average,3,Yes,1
591,42,36 to 45,Male,Married,Research & Development,Laboratory Technician,1,2 College,Other,Travel_Frequently,5,No,2093,Q1 lowest,17,1,8,2,1 to 2,2,2,0,4,4,3 High,2 Medium,4 Very High,3 High,3 Better,Good,3,No,0
592,36,36 to 45,Male,Single,Sales,Sales Executive,3,4 Master,Medical,Non-Travel,10,No,9980,Q4 highest,14,0,10,10,6 to 10,3,9,7,1,3,4 Very High,2 Medium,4 Very High,3 High,2 Good,Good,3,No,0
